subject_id,target_scheme,target_id,target_uri,original_value,evidence,status
AOM_000540,feedipedia,11876,https://www.feedipedia.org/node/11876,https://www.feedipedia.org/node/11876,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000540,cpc-product,39110,,39110,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000538,agrovoc,c_1000,http://aims.fao.org/aos/agrovoc/c_1000,http://aims.fao.org/aos/agrovoc/c_1000,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000538,feedipedia,11876,https://www.feedipedia.org/node/11876,https://www.feedipedia.org/node/11876,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000538,cpc-product,39110,,39110,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001811,feedipedia,12538,https://www.feedipedia.org/node/12538,https://www.feedipedia.org/node/12538,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003206,feedipedia,12911,https://www.feedipedia.org/node/12911,https://www.feedipedia.org/node/12911,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000558,feedipedia,736,https://www.feedipedia.org/node/736,https://www.feedipedia.org/node/736,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000557,ncbi-taxonomy,NCBITaxon_6563,http://purl.obolibrary.org/obo/NCBITaxon_6563,http://purl.obolibrary.org/obo/NCBITaxon_6563,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000557,feedipedia,736,https://www.feedipedia.org/node/736,https://www.feedipedia.org/node/736,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_006008,feedipedia,12473,https://www.feedipedia.org/node/12473,https://www.feedipedia.org/node/12473,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_006008,cpc-product,34654,,34654,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001675,agrovoc,c_d859f064,http://aims.fao.org/aos/agrovoc/c_d859f064,http://aims.fao.org/aos/agrovoc/c_d859f064,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001675,ncbi-taxonomy,NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001675,world-flora-online,wfo-0000907754,,wfo-0000907754,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_006160,feedipedia,11893,https://www.feedipedia.org/node/11893,https://www.feedipedia.org/node/11893,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000571,ncbi-taxonomy,NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000571,world-flora-online,wfo-0000907754,,wfo-0000907754,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000571,feedipedia,12280,https://www.feedipedia.org/node/12280,https://www.feedipedia.org/node/12280,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000571,cpc-product,0112,,0112,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001297,agrovoc,c_a40b4471,http://aims.fao.org/aos/agrovoc/c_a40b4471,http://aims.fao.org/aos/agrovoc/c_a40b4471,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001297,ncbi-taxonomy,NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001297,world-flora-online,wfo-0000907754,,wfo-0000907754,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001297,cpc-product,0112,,0112,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001845,world-flora-online,wfo-0000875054,,wfo-0000875054,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001845,feedipedia,11829,https://www.feedipedia.org/node/11829,https://www.feedipedia.org/node/11829,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001618,agrovoc,c_c0e6f391,http://aims.fao.org/aos/agrovoc/c_c0e6f391,http://aims.fao.org/aos/agrovoc/c_c0e6f391,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001618,agrovoc,c_34065,http://aims.fao.org/aos/agrovoc/c_34065,http://aims.fao.org/aos/agrovoc/c_34065,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001618,ncbi-taxonomy,NCBITaxon_4498,http://purl.obolibrary.org/obo/NCBITaxon_4498,http://purl.obolibrary.org/obo/NCBITaxon_4498,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001618,world-flora-online,wfo-0000852231,,wfo-0000852231,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001618,feedipedia,12390,https://www.feedipedia.org/node/12390,https://www.feedipedia.org/node/12390,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001618,cpc-product,0117,,0117,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000577,ncbi-taxonomy,NCBITaxon_4530,http://purl.obolibrary.org/obo/NCBITaxon_4530,http://purl.obolibrary.org/obo/NCBITaxon_4530,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000577,world-flora-online,wfo-0000882438,,wfo-0000882438,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000577,feedipedia,11637,https://www.feedipedia.org/node/11637,https://www.feedipedia.org/node/11637,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000577,cpc-product,0113,,0113,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000578,agrovoc,c_32539,http://aims.fao.org/aos/agrovoc/c_32539,http://aims.fao.org/aos/agrovoc/c_32539,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000578,ncbi-taxonomy,NCBITaxon_4530,http://purl.obolibrary.org/obo/NCBITaxon_4530,http://purl.obolibrary.org/obo/NCBITaxon_4530,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000578,world-flora-online,wfo-0000882438,,wfo-0000882438,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000578,feedipedia,12526,https://www.feedipedia.org/node/12526,https://www.feedipedia.org/node/12526,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000578,cpc-product,0113,,0113,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001892,ncbi-taxonomy,NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001892,world-flora-online,wfo-0000181462,,wfo-0000181462,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001892,feedipedia,12624,https://www.feedipedia.org/node/12624,https://www.feedipedia.org/node/12624,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001892,cpc-product,0114,,0114,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
